Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,26635142717,Balon Pan Młody,Podstawowa,1,szt.,"20,4",,"20,4",,23
T,26635147934,Balon bombka,Podstawowa,1,szt.,"6,34",,"6,34",,23
T,26635214858,"Balon fol. 24"" SHP Buzz Lightyear",Podstawowa,3,szt.,8,,24,,23
T,26635227476,balon nietoperz 104cm,Podstawowa,1,szt.,"7,24",,"7,24",,23
T,26635244893,balon 18cali,Podstawowa,2,szt.,"4,4",,"8,8",,23
T,26635246620,balon,Podstawowa,2,szt.,"12,9",,"25,8",,23
T,26635263733,balon Miki,Podstawowa,1,szt.,"10,8",,"10,8",,23
T,26635263740,"Balon foliowy 24"" Minnie Mouse",Podstawowa,1,szt.,"13,22",,"13,22",,23
T,26635270229,"Balon foliowy 24"" SHP Angry Birds - Pink Bird",Podstawowa,1,szt.,"8,9",,"8,9",,23
T,26635282864,balon ''5''czerwona,Podstawowa,1,szt.,"6,5",,"6,5",,23
T,26635284455,"Balon foliowy 24"" Darth Vader",Podstawowa,1,szt.,"13,22",,"13,22",,23
T,26635312356,balon,Podstawowa,1,szt.,"11,4",,"11,4",,23
T,26635312370,balon,Podstawowa,1,szt.,"11,4",,"11,4",,23
T,26635330978,Balon Girl różowy 55/25cm,Podstawowa,2,szt.,"7,3",,"14,6",,23
T,26635330985,Balon Boy nieb.50/22cm,Podstawowa,1,szt.,"7,3",,"7,3",,23
T,26635343527,Balon foliowy Minnie Mouse1st Birthday różowy,Podstawowa,2,szt.,"18,3",,"36,6",,23
T,26635355216,"Balon foliowy 18"" Star Wars Classic",Podstawowa,1,szt.,"7,3",,"7,3",,23
T,26635355223,balon,Podstawowa,1,szt.,"7,1",,"7,1",,23
T,26635371360,balon Harry Potter,Podstawowa,2,szt.,"9,95",,"19,9",,23
T,26635398756,Balon foliowy Król Lew,Podstawowa,1,szt.,"7,3",,"7,3",,23
T,26635406994,balon,Podstawowa,1,szt.,"7,1",,"7,1",,23
T,26635417679,balon 18 cali,Podstawowa,1,szt.,"7,3",,"7,3",,23
T,26635418928,balon,Podstawowa,2,szt.,"8,2",,"16,4",,23
T,26635422260,"Balon foliowy 24"" Star Wars Mandalorian",Podstawowa,1,szt.,"13,22",,"13,22",,23
T,26635422413,"Balon foliowy 18"" Star Wars Mandalorian",Podstawowa,1,szt.,"6,7",,"6,7",,23
T,26635442930,Balon Bing 18'',Podstawowa,1,szt.,"8,9",,"8,9",,23
T,26635466165,balon foliowy stitch 45cm,Podstawowa,2,szt.,"6,7",,"13,4",,23
T,26635466172,Balon Foliowy Stitch,Podstawowa,1,szt.,"13,22",,"13,22",,23
T,26635470049,Balon mały Stitch,Podstawowa,2,szt.,"4,47",,"8,94",,23
T,30625351775,balon wiewiórka,Podstawowa,1,szt.,"14,2",,"14,2",,23
T,48419228042,Balon śnieżka,Podstawowa,1,szt.,"4,43",,"4,43",,23
T,48419525516,dekoracja,Podstawowa,2,szt.,"15,8",,"31,6",,23
T,48419525936,dekoracje gołębie,Podstawowa,1,szt.,"12,1",,"12,1",,23
T,48419588887,Flagi Happy 1st Birthday,Podstawowa,1,szt.,"7,11",,"7,11",,23
T,48419595557,dekoracja,Podstawowa,1,szt.,"24,3",,"24,3",,23
T,48419609711,dekoracja,Podstawowa,2,szt.,"8,13",,"16,26",,23
T,48419613312,dekoracja słoń,Podstawowa,1,szt.,"7,92",,"7,92",,23
T,48419613411,kubeczki papierowe słonik girl,Podstawowa,2,szt.,"6,1",,"12,2",,23
T,48419613510,dekoracja hipopotam,Podstawowa,1,szt.,"7,92",,"7,92",,23
T,48419615781,zawieszki dekoracyjne 60,Podstawowa,2,szt.,"7,27",,"14,54",,23
T,48419616160,dekoracja na sciane,Podstawowa,1,szt.,"8,08",,"8,08",,23
T,48419699415,dekoracja sprężyna wisząca,Podstawowa,2,szt.,"6,09",,"12,18",,23
T,48419712343,Baner Happy 40 Birthday różowy 1szt.,Podstawowa,2,szt.,"5,65",,"11,3",,23
T,48419762553,talerzyki,Podstawowa,1,szt.,"5,9",,"5,9",,23
T,48419828389,kurtyna 30th,Podstawowa,2,szt.,"6,5",,13,,23
T,48419828402,dekoracje do zawieszenia 50,Podstawowa,2,szt.,"6,5",,13,,23
T,48419836001,dekoracja komunijna,Podstawowa,1,szt.,"18,3",,"18,3",,23
T,48419946281,zapro. baby shower,Podstawowa,35,szt.,"0,6",,21,,23
T,048GJ23568202,Brelok 40 3/516670,Podstawowa,8,szt.,"11,6",,"92,8",,23
T,048GJ23568208,Brelok 40 3/516670,Podstawowa,7,szt.,"11,6",,"81,2",,23
T,71444102599,balon 18 cali,Podstawowa,1,szt.,"6,3",,"6,3",,23
T,71444104036,balon,Podstawowa,1,szt.,"6,3",,"6,3",,23
T,71444104340,balon owoc,Podstawowa,1,szt.,"6,3",,"6,3",,23
T,71444146616,balon,Podstawowa,1,szt.,"5,4",,"5,4",,23
T,71444157827,BALON,Podstawowa,1,szt.,"5,09",,"5,09",,23
T,71444451048,balon 18 cali,Podstawowa,1,szt.,"4,8",,"4,8",,23
T,71444786539,balon,Podstawowa,1,szt.,"16,3",,"16,3",,23
T,71444879736,balon puchar,Podstawowa,2,szt.,"17,87",,"35,74",,23
T,71444905831,balon 18 cali,Podstawowa,1,szt.,"5,4",,"5,4",,23
T,71444993210,balony do modelowania,Podstawowa,178,szt.,"0,26",,"46,28",,23
T,80518109587,balon,Podstawowa,2,szt.,"6,9",,"13,8",,23
T,80518129585,balon,Podstawowa,76,szt.,4,,304,,23
T,1010702000016,"pudełko prostokątne 19*13*7,5",Podstawowa,1,szt.,3,,3,,23
T,1010702000023,"pudełko prostokątne 21*15*8,5",Podstawowa,2,szt.,"7,3",,"14,6",,23
T,1010702000030,"pudełko prostokątne 23*16,5*9,5",Podstawowa,3,szt.,"7,7",,"23,1",,23
T,1010702000047,"pudełko prostokątne  25*18*10,5",Podstawowa,1,szt.,"10,16",,"10,16",,23
T,1010702000054,"pudełko prostokątne 27*20*11,5",Podstawowa,2,szt.,"11,8",,"23,6",,23
T,1010702000061,"pudełko prostokątne 29*22*12,5",Podstawowa,1,szt.,"14,2",,"14,2",,23
T,1010702000078,"pudełko prostokątne 31*23*13,5",Podstawowa,3,szt.,"15,85",,"47,55",,23
T,1010702000085,"pudełko prostokątne 33*25,5*14,5",Podstawowa,2,szt.,"18,3",,"36,6",,23
T,1010702000092,pudełko prostokątne 35*27*15.5,Podstawowa,3,szt.,"18,3",,"54,9",,23
T,1010702000160,Pudło ozdobne 29*22*12.5 cm,Podstawowa,1,szt.,"16,26",,"16,26",,23
T,1010702000177,Pudło ozdobne 31*23* 13.5 cm,Podstawowa,1,szt.,"18,3",,"18,3",,23
T,1010702000252,Pudełko ozdobne 27*20,Podstawowa,1,szt.,"14,28",,"14,28",,23
T,1010702000269,Pudełko ozdobne 29*22,Podstawowa,1,szt.,"16,3",,"16,3",,23
T,1010702000276,Pudełko ozdobne 31*23,Podstawowa,3,szt.,"18,3",,"54,9",,23
T,1010702000283,Pudełko ozdobne 33*25.5 cm,Podstawowa,1,szt.,20,,20,,23
T,1010702000290,Pudełko ozdobne 35*27,Podstawowa,2,szt.,24,,48,,23
