Rodzaj,Symbol,Nazwa,Grupa,Stan,jm,Cena magazynowa,Cena sprzedaży,Wartość magazynowa,Wartość sprzedaży,Stawka VAT
T,5900779110519,Balon SB14P-081B Pastel Pale Pink 100szt,Podstawowa,1,op.,"18,82",,"18,82",,23
T,5900779110526,Balon Gumowy Pastel Pink,Podstawowa,1,szt.,"3,46",,"3,46",,23
T,5900779110625,SB14P-103J-50,Podstawowa,1,szt.,"9,43",,"9,43",,23
T,5900779110632,"balony strong 12cm pastel light blue, 100szt",Podstawowa,1,szt.,"9,44",,"9,44",,23
T,5900779112025,Banner Happy New Year złoty,Podstawowa,1,szt.,"4,27",,"4,27",,23
T,5900779112131,kurtyna złota mat,Podstawowa,1,szt.,"6,46",,"6,46",,23
T,5900779112162,CRT-019R Kurtyna różowezloto,Podstawowa,1,szt.,"6,93",,"6,93",,23
T,5900779112988,kalendarz adwentowy domki,Podstawowa,2,szt.,"12,5",,25,,23
T,5900779113053,talerzyki  happy new year złote,Podstawowa,5,szt.,"2,3",,"11,5",,23
T,5900779113435,Pudełko na popcorn,Podstawowa,2,szt.,"6,35",,"12,7",,23
T,5900779113541,Konfetti cyfry urodz złote,Podstawowa,4,szt.,"2,87",,"11,48",,23
T,5900779113640,Serwetki Happy New Year czarne,Podstawowa,12,szt.,"1,73",,"20,76",,23
T,5900779113725,butla z helem na 30 balonów,Podstawowa,2,szt.,"54,25",,"108,5",,23
T,5900779113763,Balon foliowy Rakieta,Podstawowa,2,szt.,"7,02",,"14,04",,23
T,5900779113916,Balon foliowy Kotek róż,Podstawowa,12,szt.,"3,51",,"42,12",,23
T,5900779114418,Balon foliowy Cheers,Podstawowa,1,szt.,"3,53",,"3,53",,23
T,5900779114425,Balon laska cukrowa- róż,Podstawowa,1,szt.,"4,56",,"4,56",,23
T,5900779115101,Zestaw torebki świąteczne,Podstawowa,1,szt.,"6,33",,"6,33",,23
T,5900779116504,Konfetti na wieczor panienski,Podstawowa,3,szt.,"3,98",,"11,94",,23
T,5900779117150,piniata szminka,Podstawowa,1,szt.,"11,66",,"11,66",,23
T,5900779117174,piniata kotek,Podstawowa,1,szt.,"26,95",,"26,95",,23
T,5900779117266,balon 1 metr pink,Podstawowa,1,szt.,"8,03",,"8,03",,23
T,5900779117327,Balon OLBO 1 metr turkus,Podstawowa,3,szt.,"8,03",,"24,09",,23
T,5900779117402,Balon Okrągły 60cm,Podstawowa,1,szt.,"4,26",,"4,26",,23
T,5900779117426,balon 60 cm pink,Podstawowa,1,szt.,"4,26",,"4,26",,23
T,5900779117440,"Balon okrągły 60cm,Pastel pistachio",Podstawowa,2,szt.,"4,26",,"8,52",,23
T,5900779117594,Świeczka Urodzinowa,Podstawowa,5,szt.,"3,58",,"17,9",,23
T,5900779118461,SCU4-1-019 świeczka 1 złoty brokat,Podstawowa,2,szt.,"3,58",,"7,16",,23
T,5900779118553,Świeczka Urodzinowa,Podstawowa,11,szt.,"3,58",,"39,38",,23
T,5900779118645,Świeczka Urodzinowa,Podstawowa,12,szt.,"3,58",,"42,96",,23
T,5900779118737,Świeczka cf br złota 10cm,Podstawowa,7,szt.,"3,58",,"25,06",,23
T,5900779118911,Świeczka 6 brokat,Podstawowa,9,szt.,"3,58",,"32,22",,23
T,5900779119000,Świeczka 7 brokat,Podstawowa,7,szt.,"3,58",,"25,06",,23
T,5900779119093,Świeczka 8 brokat,Podstawowa,5,szt.,"3,58",,"17,9",,23
T,5900779119185,świeczka cyfra 9 brokat 10cm,Podstawowa,10,szt.,"3,58",,"35,8",,23
T,5900779119277,Piniata-Piłka,Podstawowa,1,szt.,"43,09",,"43,09",,23
T,5900779119291,Czapeczki papierowe pastelowe,Podstawowa,1,szt.,"4,56",,"4,56",,23
T,5900779119321,Balon foliowy Body,Podstawowa,1,szt.,"3,66",,"3,66",,23
T,5900779119796,balon foliow Happy New Year napis,Podstawowa,10,szt.,"5,27",,"52,7",,23
T,5900779119796,balon foliow Happy New Year napis,Podstawowa,1,szt.,"6,1",,"6,1",,23
T,5900779124400,Opaska Bride metal,Podstawowa,1,szt.,"5,48",,"5,48",,23
T,5900779124431,Talerzyki papierowe Paniski,Podstawowa,6,szt.,"4,01",,"24,06",,23
T,5900779124516,Kredki do malowania twarzy,Podstawowa,8,szt.,"5,4",,"43,2",,23
T,5900779130166,confetti złote 40l KONS35-40-019ME,Podstawowa,3,szt.,"2,87",,"8,61",,23
T,5900779130203,confetti złote 60l KONS35-60-019ME,Podstawowa,5,szt.,"2,87",,"14,35",,23
T,5900779130630,"zawieszki na krzesła żona - mąż, naturalne drewno",Podstawowa,10,szt.,"3,57",,"35,7",,23
T,5900779130852,Wianek biały,Podstawowa,3,szt.,"9,49",,"28,47",,23
T,5900779130883,Wianek różowy,Podstawowa,4,szt.,"9,49",,"37,96",,23
T,5900779131378,GRL91 baner I kom. św.,Podstawowa,1,szt.,"6,25",,"6,25",,23
T,5900779131613,"balon foliowy gwiazda 3D, 95cm złoty",Podstawowa,12,szt.,"9,9",,"118,8",,23
T,5900779131774,"Balon foliowy gwiazda 3D 70cm,złoty",Podstawowa,1,szt.,"7,99",,"7,99",,23
T,5900779131996,CZ1-019R ciężarek do balonów róż,Podstawowa,38,szt.,"1,4",,"53,2",,23
T,5900779131996,CZ1-019R ciężarek do balonów róż,Podstawowa,8,szt.,"1,75",,14,,23
T,5900779132054,Balon foliowy wiśnie,Podstawowa,3,szt.,"7,33",,"21,99",,23
T,5900779132146,Serwetki Komunia Św. op./20szt.,Podstawowa,1,szt.,"5,07",,"5,07",,23
T,5900779132177,Serwetki Wieczór Panieński,Podstawowa,2,szt.,"3,64",,"7,28",,23
T,5900779132184,"serwetki wieczór panieński, białe 33x33cm",Podstawowa,12,szt.,"5,56",,"66,72",,23
T,5900779132382,Balon fol Gwiazdka 12 cm srebrna,Podstawowa,37,szt.,"0,16",,"5,92",,23
T,5900779132429,Balon fol Gwiazdka 12 cm złota,Podstawowa,70,szt.,"0,16",,"11,2",,23
T,5900779132498,Balon foliowy Lama stojąca,Podstawowa,5,szt.,"8,01",,"40,05",,23
